invoice_id,subscription_id,customer_id,amount_due,currency,period_start,period_end
inv_01KMVB36K8KM5BCVEM4P1XZQEQ,subs_01KMTVSHYPH1YM90DHXRPT3NN5,cust_01KMTVSH4EC527NKB4D4ZZJK4G,0,inr,2026-03-28T18:37:36Z,2026-04-01T00:00:00Z
inv_01KMVB390GGD7V73BX4SFSAMKZ,subs_01KMTQ6ADMTERV54Y5TFE7MF27,cust_01KMTQ6A7PE5NAW12GRGNEZC4D,0,inr,2026-03-28T17:17:12Z,2026-04-01T00:00:00Z
inv_01KMVB3BJ7SJB14RBP4Q1XVBSX,subs_01KMTG02MYN2PC8MRVXBQ8C6SD,cust_01KMTG02BX3WQXXHZXGKR97CC4,0,inr,2026-03-28T15:11:28Z,2026-04-01T00:00:00Z
inv_01KMVB3E2DE0B12CQAGQ8FRC4X,subs_01KMTD46T1MNPGGCXM4B791GSR,cust_01KMTD46KH958VT72SGEHZSQVG,0,inr,2026-03-28T14:21:17Z,2026-04-01T00:00:00Z
inv_01KMVB3GPMG6W8BFT469HRJS85,subs_01KMT99G4V9TGB5P2X06TWDFEW,cust_01KMT99FVPZCYCC9ME02K8ZQ3B,0,inr,2026-03-28T13:14:17Z,2026-04-01T00:00:00Z
inv_01KMVB3K9A61B970H2F3DA201C,subs_01KMT508CA1XSTFVG3C4TGNMCC,cust_01KMT5085TFNR0012PNVC2KDFX,0,inr,2026-03-28T11:59:19Z,2026-04-01T00:00:00Z
inv_01KMVB3NT8P6FE77NBTNE3H03K,subs_01KMT3JQNVPH1HN9GVDH4VCB2W,cust_01KMT3JQGR5MJP97MYEDFFZ347,0,inr,2026-03-28T11:34:28Z,2026-04-01T00:00:00Z
inv_01KMVB3SH0G49SZBG89Z9M3JZ0,subs_01KMT2DA358VMVMR31N9RSEH8T,cust_01KMT2D9X6KNEYCKWM5PF83EQ1,0,inr,2026-03-28T11:14:01Z,2026-04-01T00:00:00Z
inv_01KMVB3WQ9S8EMA4YPY0M4ZX6V,subs_01KMT0D4WYZQRX99AR433RHGFX,cust_01KMT0D4R0JKKP4MGKDTTWPKCN,0,inr,2026-03-28T10:38:59Z,2026-04-01T00:00:00Z
inv_01KMVB3ZFSSF9BNVB6HKBW2A0F,subs_01KMSRQ27QTBT5PBME82CFGKPM,cust_01KMSRQ1JH1WCDWSE12J8EQ9Y1,0,inr,2026-03-28T08:24:35Z,2026-04-01T00:00:00Z
inv_01KMVB42T5AEETMVZY7X9PEKZS,subs_01KMSKW7E94J98PKAVRG4T6E95,cust_01KMSKW76MDJDPWQMRTCDFHB0C,7,inr,2026-03-28T07:00:02Z,2026-04-01T00:00:00Z
inv_01KMVB471VRS8EW59AK3EDWX9W,subs_01KMSJ6JSWRNWYX50M75V1CZAA,cust_01KMSJ6JJW0G7H37MPCCH40DJC,0.1,inr,2026-03-28T06:30:44Z,2026-04-01T00:00:00Z
inv_01KMVB4AWTV4TZV6D5P1CAPNCH,subs_01KMSEQTCH2WMEVBGRHCG95NQV,cust_01KMSEQS7QC7XZX9114HSEA81Q,0,inr,2026-03-28T05:30:14Z,2026-04-01T00:00:00Z
inv_01KMVB4HWR9D85ARYRXVF49BR5,subs_01KMSE06J1R3D6EGRTRTWM3BXF,cust_01KMSE06EXGXYD6P42PQJ8NQ14,0,inr,2026-03-28T05:17:20Z,2026-04-01T00:00:00Z
inv_01KMVB4N4H5WB9XPXFR8218J0B,subs_01KMS6KQHMQBG7RKJJNVVG2MG2,cust_01KMS6KQAF9PPNENFJR3PJRMWB,0,inr,2026-03-28T03:08:12Z,2026-04-01T00:00:00Z
inv_01KMVB4R3B11AYV169QWR5GRXG,subs_01KMRD1JF065KEE24MTRZHTX6T,cust_01KMRD1J70DG6MMM73BF81NCX0,0,inr,2026-03-27T19:41:22Z,2026-04-01T00:00:00Z
inv_01KMVB4Z8MDAHJR0DW5Y0WD3ZC,subs_01KMR9FXS52PBDNYE7JB65CGHT,cust_01KMR9FXJN7M4AP01RMD0S3484,0,inr,2026-03-27T18:39:18Z,2026-04-01T00:00:00Z
inv_01KMVB53VGQD79HSPK6KHK808D,subs_01KMR5XY9B97EW8KVQ7Z3KK3ZB,cust_01KMR5XY2TP82KBS5996YYHA0B,0,inr,2026-03-27T17:37:03Z,2026-04-01T00:00:00Z
inv_01KMVB57JPNXPSJ5WB3CMTF0FP,subs_01KMR5JGQNMFVFSNTDFN457TBS,cust_01KMR5JGJ1B78K9Z2ZMS0VNJH6,0,inr,2026-03-27T17:30:49Z,2026-04-01T00:00:00Z
