Customer ID,External Customer ID,Invoice ID,Invoice Number,Period Start,Period End,Invoice Total,Analytics Total,Difference,Currency
cust_01K4F6T8FHRR50VW3CKMWM2J4A,9724929666,inv_01K5GC7794EGN4SCM7MF00EZHT,INV-202509-00007,2025-09-15T15:03:52Z,2025-09-16T15:03:52Z,895.1,895.1032,-0.0032,inr
cust_01K57DV792D0Y1355B2EG3AV09,8724929666,inv_01K7MP3GVKF826CS966NJH864R,INV-202510-00003,2025-09-15T19:32:58Z,2025-10-15T19:32:58Z,29804.17,29784.1591,20.0109,inr
cust_01K58EJXWZY82YMFDYZVC8619B,0091271968,inv_01KADB9TCF43A13X93725YVEWV,INV-202511-00004,2025-10-19T06:01:35Z,2025-11-19T06:01:35Z,2472.1,313318.6520097544,-310846.5520097544,inr
cust_01K58EJXWZY82YMFDYZVC8619B,0091271968,inv_01K7XHB8R7RZNYBRJJGKE1Y6TM,INV-202510-00005,2025-09-19T06:01:35Z,2025-10-19T06:01:35Z,197687.84,198036.51968188324,-348.67968188324,inr
cust_01K58EJXWZY82YMFDYZVC8619B,0091271968,inv_01K5G90JCDY13FHDEDK4JCQAY0,INV-202509-00006,2025-09-16T05:05:07Z,2025-09-19T06:01:32Z,318347.14,8146.5390524034,310200.6009475966,inr
cust_01K5B4EXCBR3XMD1YABSC5X2DT,7724929888,inv_01K5SYDC1TS90CCFEFCG5JEYK9,INV-202509-00011,2025-09-22T00:00:00Z,2025-09-23T00:00:00Z,118027.97,118027.9715554972,-0.0015554972,inr
cust_01K5B4EXCBR3XMD1YABSC5X2DT,7724929888,inv_01K5QC0N72H182SP9DJ030WS5C,INV-202509-00010,2025-09-21T00:00:00Z,2025-09-22T00:00:00Z,169446.1,169446.097777694,0.002222306,inr
cust_01K5B4EXCBR3XMD1YABSC5X2DT,7724929888,inv_01K5MSKY0V48KEH593GA9KVWBE,INV-202509-00009,2025-09-20T00:00:00Z,2025-09-21T00:00:00Z,168277.5,168277.5039999168,-0.0039999168,inr
cust_01K5B4EXCBR3XMD1YABSC5X2DT,7724929888,inv_01K5J776YZ39FWCVE3TX5VJAA3,INV-202509-00008,2025-09-19T00:00:00Z,2025-09-20T00:00:00Z,168277.5,168277.5039999168,-0.0039999168,inr
cust_01K5B4EXCBR3XMD1YABSC5X2DT,7724929888,inv_01K5FMTG0RDH8Q1HMH6TSZ94KD,INV-202509-00005,2025-09-18T00:00:00Z,2025-09-19T00:00:00Z,133019,133018.00399991679995,0.99600008320005,inr
cust_01K5B4EXCBR3XMD1YABSC5X2DT,7724929888,inv_01K5D2DS25EMVE8EA16ESRS7HZ,INV-202509-00003,2025-09-17T00:00:00Z,2025-09-18T00:00:00Z,14662.43,14661.29055549691985,1.13944450308015,inr
cust_01K5E74S42Q7D1CSHY6X57RJCR,7826662820,inv_01KBBSFNWFBH5KP7RSNG9AYB1C,INV-202512-00002,2025-11-01T00:00:00Z,2025-12-01T00:00:00Z,200.6,200.549,0.051,inr
cust_01K5E74S42Q7D1CSHY6X57RJCR,7826662820,inv_01K8YDMQRYJ1H3KFAED5FJH0KC,INV-202511-00002,2025-10-01T00:00:00Z,2025-11-01T00:00:00Z,152.96,153.5226,-0.5626,inr
cust_01K5E74S42Q7D1CSHY6X57RJCR,7826662820,inv_01K6EHQHYYJ07J92WY4PYNQDHN,INV-202510-00001,2025-09-18T10:50:30Z,2025-10-01T00:00:00Z,170769.78,170769.78253306484,-0.00253306484,inr
cust_01K5DZYZEVTX4E79FM8DGZGWTH,7219139149,inv_01KABG2RDSWJ7VMAJMZ2WTC49Y,INV-202511-00003,2025-10-18T12:32:36Z,2025-11-18T12:32:36Z,545825.11,27287630.25532120652,-26741805.14532120652,inr
cust_01K5DZYZEVTX4E79FM8DGZGWTH,7219139149,inv_01K7VN8NXXB2VHFR05J49G5CR2,INV-202510-00004,2025-09-18T12:32:36Z,2025-10-18T12:32:36Z,5958155.06,5972670.18106852352,-14515.12106852352,inr
