customer_id,subscription_id,invoice_id,period_start,period_end,analytics_amount,invoice_subtotal,diff,invoice_generated
cust_01KHJRVVANNGDRV90PTZ5PJQNX,subs_01KHJRVVY789A04GNGPQT208G0,inv_01KKTW8B7NG381VGQH630B24AG,2026-02-16T08:25:26Z,2026-03-16T08:25:26Z,0.17,0.17,0,TRUE
cust_01KH8VFNR4C5ZDZV36AV9BQW1A,subs_01KH8VFP8CSKTF8FZ6X7TAF7F1,inv_01KKGYP0Y4DDQ5VPJYBVBEVXA6,2026-02-12T11:58:49Z,2026-03-12T11:58:49Z,6.3,6.3,0,TRUE
cust_01KH8PRYD2CBK0S99V3PBNRKB0,subs_01KH8PRYTGNX925TMTE3XGCG2W,inv_01KKGTCNFW9QVCYR098TA49JJJ,2026-02-12T10:36:29Z,2026-03-12T10:36:29Z,1.73,1.73,0,TRUE
cust_01KH8GC5210279C70E8J9P6ZHS,subs_01KH8GC5J5T3HCATQCV0BPDQ9Z,inv_01KKGKGYMHMP5M2MW6H5AWFRPE,2026-02-12T08:44:39Z,2026-03-12T08:44:39Z,4.28,4.28,0,TRUE
cust_01KH86BSF3ENNXT2E5QARSY4EQ,subs_01KH86BT2JJYMJTXK0TR3GETVX,inv_01KKGA2T74VXBHNCAY2DZAHAWN,2026-02-12T05:49:41Z,2026-03-12T05:49:41Z,7.07,7.07,0,TRUE
cust_01KH8D0WJ2BSDP9C9JPQRDG163,subs_01KH8D0X3938ACAFNTZPF87BJP,inv_01KKGGYHVX5Q1EMSZAX0WXFX1D,2026-02-12T07:46:04Z,2026-03-12T07:46:04Z,22.95,22.95,0,TRUE
cust_01KGY5366P7QHMR50GHGGFYG0B,subs_01KGY536JT7M0ZY12BF8ZRA6YV,inv_01KK692KYJMMBNG2DNH1GWHFZV,2026-02-08T08:15:06Z,2026-03-08T08:15:06Z,0.05,0.05,0,TRUE
cust_01KGY550GTY6M0YN1PJYZKX40Y,subs_01KGY55108S6R3D3WBEC8NSBSZ,inv_01KK692KX3KR1KKQSVY3WZ002N,2026-02-08T08:16:06Z,2026-03-08T08:16:06Z,0.25,0.25,0,TRUE
cust_01KGY4NH08WP6C8RFPC8KTPNNW,subs_01KGY4NHKKBZTTQQNZSK1YSQ5R,inv_01KK6875NR2C31HSWYD56VR6MS,2026-02-08T08:07:39Z,2026-03-08T08:07:39Z,1.12,1.12,0,TRUE
cust_01KGY4KQHK2QYHSREGXQWVARWA,subs_01KGY4KR10MY8H694M8761TFVQ,inv_01KK6875GMMGF9YDB22NNDWPSK,2026-02-08T08:06:40Z,2026-03-08T08:06:40Z,0.03,0.03,0,TRUE
