customer_id,subscription_id,invoice_id,period_start,period_end,analytics_amount,invoice_subtotal,diff,invoice_generated,external_customer_id,billing_period_usage_credits,partial_march_usage_credits,ongoing_realtime_credit_balance,credit_balance,final_ongoing_balance
cust_01KJG52DMEB1MMQCPN80MM5A2P,subs_01KJG52DRC2PR0PEMY0W8DC184,inv_01KJKB488HXHP58J9K03BDYWKP,2026-02-27T18:16:42Z,2026-03-01T00:00:00Z,0.29,0.30,-0.01,true,PC_9545885087,0.29,0.00,0.70,0.70,0.71
cust_01KJCPD3SJGQBB1R0M21AQTKNM,subs_01KJCPD3XZDNVX8JY0RN7J97TM,inv_01KJKB4E7EXMKVJG8MQ6KHGPS4,2026-02-26T10:02:41Z,2026-03-01T00:00:00Z,234.65,341.00,-106.35,true,PC_9512570413,234.65,282.97,81.03,405.00,228.39
cust_01KJB14GGTYK9936RXZHNMCF95,subs_01KJB14GKYY4WX9R8Z50ZRSBWC,inv_01KJKB4DGC3KGC88BHE7NMEFPB,2026-02-25T18:31:44Z,2026-03-01T00:00:00Z,676.87,676.86,0.01,true,PC_9451615242,676.87,13502.56,-214.43,13288.14,-214.43
cust_01KJAYSFTN7A28R5PET9AGPD7T,subs_01KJAYSGEV3YVXJ9KKF7YJMPY9,inv_01KK9D586W5J05RAQ0P1R6QJEV,2026-02-25T17:50:47Z,2026-03-01T00:00:00Z,260.60,260.61,-0.01,true,PC_5125526260,260.60,874.68,-185.29,689.39,-185.29
cust_01KJAQJ1YFZF31A8P4D5WWQ5NT,subs_01KJAQJ29DP0J34DCES76GV3RC,inv_01KJKB4G1KZM9TNZ90J60KJSDF,2026-02-25T15:44:23Z,2026-03-01T00:00:00Z,116.17,457.43,-341.26,true,PC_5355307335,116.17,713.68,-971.10,0.00,-372.42
cust_01KJ6A6BM6FEVGYC1X40VCZXKK,subs_01KJ6A6BS6CT9CK34V2SGAXM9W,inv_01KJKEJ22R46Y7SWM7PB2PNE06,2026-02-23T22:33:50Z,2026-03-01T00:00:00Z,167.68,167.67,0.01,true,PC_2423973324,167.68,933.91,75.30,1026.00,92.08
cust_01KJ42A1SJNPAVF33G9YSQV2PQ,subs_01KJ42A1VRJMWA43V6T4HZR71R,inv_01KJKB5HB62Z4C0NQRF1VB3ZZG,2026-02-23T01:37:34Z,2026-03-01T00:00:00Z,80.14,80.13,0.01,true,PC_2284716579,80.14,271.34,2648.55,2919.87,2648.52
cust_01KJ1KGCCVTEYZR9NCH32885GJ,subs_01KJ1KGCJ4F88414ZSYTVR8FMK,inv_01KK9CHJETSZKFESAM7CKX1JQ4,2026-02-22T02:40:24Z,2026-03-01T00:00:00Z,212.37,212.36,0.01,true,PC_0604057064,212.37,1265.85,-28.22,1237.64,-28.22
cust_01KHZ5QC69D78WCAZDD0K1Y6BE,subs_01KHZ5QCDBJK8TBYKEHS3J0JZE,inv_01KK9CG28XYRP5ERJK5MZZJNWJ,2026-02-21T04:01:04Z,2026-03-01T00:00:00Z,414.91,414.90,0.01,true,PC_8993952038,414.91,537.79,147.31,685.10,147.30
cust_01KHX4WP9TV8BWNMCFVHN3YSNS,subs_01KHX4WPG5ATNAR5QV27HQ6YV7,inv_01KJKB9M9PGJFCGWZNQ11ZQ035,2026-02-20T09:08:01Z,2026-03-01T00:00:00Z,129.34,129.35,-0.01,true,PC_6332115704,129.34,414.95,955.70,1370.65,955.71
cust_01KHWJMVFX490R1KP92YGK1W70,subs_01KHWJMVPMZV34SWYNV41Y1X1A,inv_01KJKEJFXZC02DZQ27TCRXM0BT,2026-02-20T03:49:09Z,2026-03-01T00:00:00Z,156.83,156.82,0.01,true,PC_5098743021,156.83,21.02,-27.84,0.00,-21.02
cust_01KHVCZ7GV29P9430F7PXR85RF,subs_01KHVCZ7PECZWBXDSAERX5EZTF,inv_01KJKB9802ESRKTSM88RMN14R1,2026-02-19T16:50:44Z,2026-03-01T00:00:00Z,165.61,165.60,0.01,true,PC_4885862342,165.61,130.21,704.19,834.40,704.18
cust_01KHV4JRBP4VPHTV4S62DM4F7X,subs_01KHV4JRJ77NBWMGNN1J2CZ4T8,inv_01KJKB9A4NBCV1RDSPKMK92HH4,2026-02-19T14:24:06Z,2026-03-01T00:00:00Z,872.11,872.12,-0.01,true,PC_0991550481,872.11,155.75,-27.87,127.88,-27.86
