customer_id,subscription_id,invoice_id,period_start,period_end,analytics_amount,invoice_subtotal,diff,invoice_generated
cust_01KJK9QK9VBXXH5G70WWM1403P,subs_01KJK9QKE0B01TKV669THHB0QP,,2026-02-28T23:35:54Z,2026-03-01T00:00:00Z,0.00,,0.00,false
cust_01KJJ0N38PV1YBDWDG59NHXV2R,subs_01KJJ0N440H7TK3RRG5G707JES,inv_01KJKB3VMR2YAMA5ZY3693EHKC,2026-02-28T11:38:00Z,2026-03-01T00:00:00Z,1.82,1.82,0.00,true
cust_01KJG52DMEB1MMQCPN80MM5A2P,subs_01KJG52DRC2PR0PEMY0W8DC184,inv_01KJKB488HXHP58J9K03BDYWKP,2026-02-27T18:16:42Z,2026-03-01T00:00:00Z,0.29,0.30,-0.01,true
cust_01KJH7PDA9WGZGJYVHZ9QBPV51,subs_01KJH7PDDHNZ929X788PC6H04E,inv_01KJKB3WACMKNCXS2P8QXQ93FA,2026-02-28T04:21:49Z,2026-03-01T00:00:00Z,134.66,134.66,0.00,true
cust_01KJDNYTGSH59B6PQ6G4J8M05C,subs_01KJDNYTPQ2YCSGTMZSKMPRANP,inv_01KJKEHNP3RGRAJDXY9XWMH2PF,2026-02-26T19:14:07Z,2026-03-01T00:00:00Z,3.58,3.58,0.00,true
cust_01KJDB2QFNBYXDZ3SM17GNH1V4,subs_01KJDB2QK5DY8H5JF6N14586G2,inv_01KJKEJ4DHBS210606PQS0X1KM,2026-02-26T16:04:01Z,2026-03-01T00:00:00Z,0.33,0.33,0.00,true
cust_01KJCPD3SJGQBB1R0M21AQTKNM,subs_01KJCPD3XZDNVX8JY0RN7J97TM,inv_01KJKB4E7EXMKVJG8MQ6KHGPS4,2026-02-26T10:02:41Z,2026-03-01T00:00:00Z,234.65,341.00,-106.35,true
cust_01KJBGS1D7JD1JNHZKMSE9T5Y6,subs_01KJBGS1S7BRECHQ6PVF660EWM,inv_01KK9CAT35MWRRX29MYGR83EWX,2026-02-25T23:05:06Z,2026-03-01T00:00:00Z,116.53,116.53,0.00,true
cust_01KJB14GGTYK9936RXZHNMCF95,subs_01KJB14GKYY4WX9R8Z50ZRSBWC,inv_01KJKB4DGC3KGC88BHE7NMEFPB,2026-02-25T18:31:44Z,2026-03-01T00:00:00Z,676.87,676.86,0.01,true
cust_01KJAYSFTN7A28R5PET9AGPD7T,subs_01KJAYSGEV3YVXJ9KKF7YJMPY9,inv_01KK9D586W5J05RAQ0P1R6QJEV,2026-02-25T17:50:47Z,2026-03-01T00:00:00Z,260.60,260.61,-0.01,true
cust_01KJAQJ1YFZF31A8P4D5WWQ5NT,subs_01KJAQJ29DP0J34DCES76GV3RC,inv_01KJKB4G1KZM9TNZ90J60KJSDF,2026-02-25T15:44:23Z,2026-03-01T00:00:00Z,116.17,457.43,-341.26,true
cust_01KJ9VWGAWNCKHHFS3W6JH59NR,subs_01KJ9VWGYWWYXWVS305JW9858R,inv_01KJKEHT8YG19S3D52AXP5W930,2026-02-25T07:40:45Z,2026-03-01T00:00:00Z,7.75,7.75,0.00,true
cust_01KJ9M6NR4FDR9B49T9JBKAKXQ,subs_01KJ9M6P8Q6W4SKRP8QGNJX96S,inv_01KJKB5HMYFWJ8JBJZ9PCQEZ9V,2026-02-25T05:26:30Z,2026-03-01T00:00:00Z,4.72,4.72,0.00,true
cust_01KJ8KJAYC7V1FVG6ZNGYWMABW,subs_01KJ8KJB47KEMDVCRJYVMFS44M,inv_01KK9C9RW6JQV0AV6Z50SNF76H,2026-02-24T19:56:09Z,2026-03-01T00:00:00Z,697.32,697.32,0.00,true
cust_01KJ7ZWA4SCNYJVWKK1EGCZ8VD,subs_01KJ7ZWABZ0D99F5RF97R83EN3,inv_01KJKB5CVG7X58W6QCX2BNB1QV,2026-02-24T14:12:04Z,2026-03-01T00:00:00Z,0.10,0.10,0.00,true
cust_01KJ6SEQTDBA8C36RM5X2HD5YM,subs_01KJ6SEQZN9W2WM5Z62QZ6Y383,inv_01KK9CC597DZ19MAH73JDJZX18,2026-02-24T03:00:33Z,2026-03-01T00:00:00Z,1629.00,1629.00,0.00,true
