customer_id,external_customer_id,subscription_id,invoice_id,period_start,period_end,analytics_amount,invoice_subtotal,diff,invoice_generated,sub_current_period_start,sub_current_period_end,sub_start_date,billing_anchor,existing_invoice_id,existing_invoice_status
cust_01KG856FAPZB0GTECVQF874HSA,OG_STAGE_7180207450,subs_01KG9F1TSE81VSD6A92ZY86REJ,,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,664436.640000,,664436.64,false,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,2025-12-31T18:30:00Z,2026-02-01T00:00:00Z,,
cust_01KG81F4023F1B7NT6YA8H1WXA,PC_6141286873,subs_01KG81F44262E84FZN909GQD6S,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,338545.880000,,338545.88,false,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,2026-01-30T18:08:25Z,2026-02-01T00:00:00Z,,
cust_01KG81EH2F6MTYB2H502EAGPB7,PC_4687978654,subs_01KG81EH8NGV14FXKAJX9PE09R,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,12810.160000,,12810.16,false,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,2026-01-30T18:08:06Z,2026-02-01T00:00:00Z,,
cust_01KEM02VRNQRW1JJMK22DAQ271,PC_3023615489,subs_01KEM02VXW1TQNC9ZQ2F02B1CD,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,3.230000,,3.23,false,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,2026-01-10T13:03:44Z,2026-02-01T00:00:00Z,,
cust_01KEKWED3D528GQFRNDZY56MRA,PC_2985771250,subs_01KEKWEDBEZN6GN20BZJH0D291,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,125068.670000,,125068.67,false,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,2026-01-10T12:00:08Z,2026-02-01T00:00:00Z,,
cust_01KEKWEBC2NP0SSQAPF794BMYS,PC_8878008817,subs_01KEKWEBRCR7EK4HYKTSEQEJ82,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,117769.660000,,117769.66,false,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,2026-01-10T12:00:07Z,2026-02-01T00:00:00Z,,
cust_01KEKWEAKQWN6MT4K336MTP1ZK,PC_4284979585,subs_01KEKWEAT7Q60TXNNHZVQY99S9,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,118767.200000,,118767.20,false,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,2026-01-10T12:00:06Z,2026-02-01T00:00:00Z,,
cust_01KEKWE9M838Y73XRQXZ2471E7,PC_7806217967,subs_01KEKWE9XT908DVFCKJJ0660JA,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,248050.530000,,248050.53,false,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,2026-01-10T12:00:05Z,2026-02-01T00:00:00Z,,
cust_01KEKWE933KJ88MYJ58GM59HK6,PC_2088815188,subs_01KEKWE99NA5P7ATJ97YTJ05S3,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,250.340000,,250.34,false,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,2026-01-10T12:00:04Z,2026-02-01T00:00:00Z,,
cust_01KEKWE86TYHXK4P4BHQT22S45,PC_5530089343,subs_01KEKWE8H50BG2BJZ27DBZ5CRX,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,360.810000,,360.81,false,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,2026-01-10T12:00:04Z,2026-02-01T00:00:00Z,,
