customer_id,subscription_id,invoice_id,period_start,period_end,analytics_amount,invoice_subtotal,diff,invoice_generated
cust_01KJHP87PYDHDJ3BF94RS7Q2FT,subs_01KJHP87QNXHQ6ZZHMQ6EAXA9A,,2026-02-28T00:00:00Z,2026-03-01T00:00:00Z,0.00,,0.00,false
cust_01KJJKY63MBCW807AB8X68G6A3,subs_01KJJKY64P1R1NQEYV4TXR0SRA,inv_01KJKB3T8H8WGB3FGPKWNRV347,2026-02-28T00:00:00Z,2026-03-01T00:00:00Z,0.01,0.01,0.00,true
cust_01KJD1YZV2TFRNDD9JD7W2CJX8,subs_01KJD1YZW2WA9FPNBWMZVCQ73M,inv_01KJKEHYBGQ8P0WWFD071XKWGB,2026-02-26T00:00:00Z,2026-03-01T00:00:00Z,0.01,0.01,0.00,true
cust_01KJCJA6TTT0HP4HTRDBT90HZC,subs_01KJCJA6VZSK7HGFAG53RKE3JA,inv_01KJKB4B0QR5QV0P5ZG2CKC9CV,2026-02-26T00:00:00Z,2026-03-01T00:00:00Z,0.36,0.36,0.00,true
cust_01KJCHVK8VFPW4S53TKCM94YE1,subs_01KJCHVK9VJ779H8D71D2K62FE,,2026-02-26T00:00:00Z,2026-03-01T00:00:00Z,0.00,,0.00,false
cust_01KJARPRTW6TYVS65MW2FMVEFW,subs_01KJARPRVVDVEEEG0QRPCQEFWV,,2026-02-25T00:00:00Z,2026-03-01T00:00:00Z,0.00,,0.00,false
cust_01KJ9ZBTJDP8XNCMA48DV1BT14,subs_01KJ9ZBTQ974S0E75R9P7VNKH5,inv_01KJKEHP80794Z0BMFB2YJ6JDM,2026-02-25T00:00:00Z,2026-03-01T00:00:00Z,51.20,51.33,-0.13,true
cust_01KJ87B441G45H8563T5XPVN6M,subs_01KJ87B4560GXWW0N31SJYFYAF,inv_01KJKB4JPKR0EBP6V2X1STDQQF,2026-02-24T00:00:00Z,2026-03-01T00:00:00Z,1.69,1.70,-0.01,true
cust_01KJ7M0Q7FH36WHWWSJGVEZ3C2,subs_01KJ7M0Q8FXBJZHRE7YRK6W4RQ,,2026-02-24T00:00:00Z,2026-03-01T00:00:00Z,0.00,,0.00,false
cust_01KJ7G71YD6C6WD1KQ5YD66GN3,subs_01KJ7G71ZBYSPPPT4CVMMYCFKV,inv_01KJKB5W5TRZV559Q1DWC3P7CF,2026-02-24T00:00:00Z,2026-03-01T00:00:00Z,0.01,0.01,0.00,true
cust_01KJ7G71YD6C6WD1KQ5YD66GN3,subs_01KJ7G723TNGGB3R86RTA7QBHP,inv_01KJKB5V6PDMFK76HG07SQJ11Z,2026-02-24T00:00:00Z,2026-03-01T00:00:00Z,0.87,0.87,0.00,true
cust_01KJ7FXK7KRKCX1SJ2M0AT7QQ3,subs_01KJ7FXK8P1FVC5TDBEKWB90FT,,2026-02-24T00:00:00Z,2026-03-01T00:00:00Z,0.00,,0.00,false
cust_01KJ7C5EXCE15KMKYBFV8ZW91E,subs_01KJ7C5F1VH3WVAYTHY4KWYBVP,inv_01KJKB65Z4GCJRJ1Y0ZJ2G6GYW,2026-02-24T00:00:00Z,2026-03-01T00:00:00Z,0.55,0.55,0.00,true
cust_01KJ7C5EXCE15KMKYBFV8ZW91E,subs_01KJ7C5EYCF71G7KA3BTA13M82,,2026-02-24T00:00:00Z,2026-03-01T00:00:00Z,0.00,,0.00,false
cust_01KJ51Y3BS1RKNXQ9S948Y7G3C,subs_01KJ51Y3CVM7T7V16MAAHDT7TA,,2026-02-23T00:00:00Z,2026-03-01T00:00:00Z,0.00,,0.00,false
cust_01KJ4WGBCE1P3KRV7Q9937BXEF,subs_01KJ4WGBDB16674GHDSGG9TTBG,,2026-02-23T00:00:00Z,2026-03-01T00:00:00Z,0.00,,0.00,false
cust_01KJ4PWDEQ229W8N67BKZBEEXP,subs_01KJ4PWDFP53Y590PWJDR8WYY6,,2026-02-23T00:00:00Z,2026-03-01T00:00:00Z,0.00,,0.00,false
cust_01KJ4A40JPNKG0PK4ZWT5Z0GQ2,subs_01KJ4A40KS1GJA6R47NE42S7KN,,2026-02-23T00:00:00Z,2026-03-01T00:00:00Z,0.00,,0.00,false
cust_01KJ27ZYM1EAXTKV4VADG2132J,subs_01KJ27ZYMWZFK7CNEDPMVEM3CP,,2026-02-22T00:00:00Z,2026-03-01T00:00:00Z,0.00,,0.00,false
cust_01KJ25S6EK3FN0W70YTVEHFFPP,subs_01KJ25S6FFJ7DQ51QKKR39XYG0,inv_01KJKEHZ88PDKCK4H8CSPTBDXW,2026-02-22T00:00:00Z,2026-03-01T00:00:00Z,1.19,1.20,-0.01,true
cust_01KJ1SRZZ40NW0NRRA6T98Y49T,subs_01KJ1SS002B1NXTCGN5BZW09Z3,inv_01KJKEJ1GATKVNDGJM2BHPYK33,2026-02-22T00:00:00Z,2026-03-01T00:00:00Z,0.05,0.05,0.00,true
cust_01KJ0AT4DZNHGT475K1QY44YNY,subs_01KJ0AT4EZPN7CAGEMG258S8VR,inv_01KJKB59AW6E0SXC70A6BX627C,2026-02-21T00:00:00Z,2026-03-01T00:00:00Z,0.30,0.30,0.00,true
cust_01KJ04Z4PEHCES2451BFXV0PDR,subs_01KJ04Z4Q9F3DRCX5B9WKYW8AJ,inv_01KJKB8KG537156AZ6ZTJJNHQQ,2026-02-21T00:00:00Z,2026-03-01T00:00:00Z,0.08,0.08,0.00,true
cust_01KHX13ZPVSCXR675G1AKJA7CX,subs_01KHX13ZQWW4CN4C22KE5141YA,,2026-02-20T00:00:00Z,2026-03-01T00:00:00Z,0.00,,0.00,false
cust_01KHV6YBASBHKTXYT7HFZZMPP0,subs_01KHV6YBBS9FBBGS68CKB5W482,,2026-02-19T00:00:00Z,2026-03-01T00:00:00Z,0.00,,0.00,false
cust_01KHTATV8X3RMJ0SSAZQP2CS2Z,subs_01KHTATV9SA1JM333CT4AJR86P,,2026-02-19T00:00:00Z,2026-03-01T00:00:00Z,0.00,,0.00,false
cust_01KHRK70T3CQ7TTVM1R7A2HEH3,subs_01KHRK70V2NM3HBGJX51YETY2E,,2026-02-18T00:00:00Z,2026-03-01T00:00:00Z,0.00,,0.00,false
cust_01KHPFE3PMM538BSC4N90A6VGW,subs_01KHPFE3QF4FMBHP3G9DXBN1GZ,,2026-02-17T00:00:00Z,2026-03-01T00:00:00Z,0.00,,0.00,false
cust_01KHPFE3PMM538BSC4N90A6VGW,subs_01KHPFE3TG794VV0E4MSYAW5QJ,inv_01KJKB5XET3A127NAA3GS0GEZT,2026-02-17T00:00:00Z,2026-03-01T00:00:00Z,3.61,3.61,0.00,true
