customer_id,subscription_id,invoice_id,period_start,period_end,analytics_amount,invoice_subtotal,diff,invoice_generated
cust_01KJH57CJ14NPE1Q50WZW8APGP,subs_01KJH57CK0E5S81FFVYB3T0BHM,inv_01KJKB3WQ6X99Q4ADSC2SJWHAS,2026-02-28T00:00:00Z,2026-03-01T00:00:00Z,0.03,0.02,0.01,TRUE
cust_01KJCNFW449WMWX8KGEQXVVXKD,subs_01KJCNFW5AG86JZD6H80X9DZKM,inv_01KJKB4Q2KX4Y58KX6QB2RN61T,2026-02-26T00:00:00Z,2026-03-01T00:00:00Z,0.06,0.06,0,TRUE
cust_01KJCM722Q2182YX2N9F3KF36J,subs_01KJCM723FHBQ0GANQQM7KW4TZ,inv_01KJKB45WY6RQYEQBCDVEHDVBG,2026-02-26T00:00:00Z,2026-03-01T00:00:00Z,7.79,7.79,0,TRUE
cust_01KJANZFPN9AP5N3XR4C6WBJ70,subs_01KJANZFQMCFKZ0FGAEQ19WVD8,inv_01KJKB4X483VQ0Q9GEJCSGMQY9,2026-02-25T00:00:00Z,2026-03-01T00:00:00Z,2.32,2.32,0,TRUE
cust_01KJA2AZFRYAGV847SESG6T842,subs_01KJA2AZGSYGVZHN47NVQ65N6C,inv_01KJKEHNJMAWDQXNCZ26NAN38Z,2026-02-25T00:00:00Z,2026-03-01T00:00:00Z,0.01,0.01,0,TRUE
cust_01KJ9QE198FWTCQ1A7883VWB6Y,subs_01KJ9QE1AARJK8Q92NKY4D07HC,inv_01KJKEHR3KMJR6BZE44WR3R1S7,2026-02-25T00:00:00Z,2026-03-01T00:00:00Z,19.07,19.06,0.01,TRUE
cust_01KJ9FARMA8WX2WMM0T9R8M86X,subs_01KJ9FARNAD65ASQ5HT9NDNPKS,inv_01KJKB5087YSYJ496S71VENK3F,2026-02-25T00:00:00Z,2026-03-01T00:00:00Z,3.07,3.07,0,TRUE
cust_01KJ2Y1W3EPP5HSEVWPXN4PTR9,subs_01KJ2Y1W4E0FW1KB11W7C8BRHQ,inv_01KJKB517CCKN3NBWZBGEVWNFW,2026-02-22T00:00:00Z,2026-03-01T00:00:00Z,0.04,0.03,0.01,TRUE
cust_01KHZW4JFA38H78HCKF4K68S29,subs_01KHZW4JG55RRZSJT350BT3X74,inv_01KJKB5CYMS3MFHDP4GFH5YZ8T,2026-02-21T00:00:00Z,2026-03-01T00:00:00Z,0.43,0.43,0,TRUE
cust_01KHWR9D1X6583N5M11PBRH860,subs_01KHWR9D2PFFMMEZ9W814YPXW0,inv_01KJKJV00ZS2MW163GYJ8KT6JA,2026-02-20T00:00:00Z,2026-03-01T00:00:00Z,0.41,0.41,0,TRUE
cust_01KHTZBYNTBDDQXVDS3P3JFNYP,subs_01KHTZBYPREYMNR0P1A4PQK9XH,,2026-02-19T00:00:00Z,2026-03-01T00:00:00Z,0,,0,FALSE
cust_01KHTHPD06J8EF8PRFMZTSS636,subs_01KHTHPD15F8EAWEK4BMPVYJPD,inv_01KJKB888Q0Z6DFACBGZT0AAEN,2026-02-19T00:00:00Z,2026-03-01T00:00:00Z,0.45,0.46,-0.01,TRUE
cust_01KHT1EM28VHVNR0ETKP92Y2B2,subs_01KHT1EM38MQC837ZT3G2SCP27,inv_01KJKB5ZDMBKCZHFTR10JEXZQ3,2026-02-19T00:00:00Z,2026-03-01T00:00:00Z,0.04,0.03,0.01,TRUE
cust_01KHRES27DR7J0Y1FNFT682SS4,subs_01KHRES28CGQ0QK003E6KP3RWJ,inv_01KJKEJCT0C830HXANDREASFKX,2026-02-18T00:00:00Z,2026-03-01T00:00:00Z,13.53,13.54,-0.01,TRUE
cust_01KHQRE58VCN1R4YDD588XYMSD,subs_01KHQRE59Q3Y5M2TF1ZGJA5K74,inv_01KJKEJDFN30NGNVQZZTSTBAR1,2026-02-18T00:00:00Z,2026-03-01T00:00:00Z,11068.2,11074.8,-6.6,TRUE
cust_01KHPKHCYEGVHX18ENBBDRTH4G,subs_01KHPKHCZEV0ZHVMGSQDMEY2S1,inv_01KJKB61BGCJGS8VWCC4VSD5PW,2026-02-17T00:00:00Z,2026-03-01T00:00:00Z,0.51,0.51,0,TRUE
cust_01KHKH8TVXQBRSATRN4XT4SD4C,subs_01KHKH8TWXA9MY4AWAY0FV1FW5,inv_01KJKEJ1D4RYHWASGF97BG3X3H,2026-02-16T00:00:00Z,2026-03-01T00:00:00Z,4.21,4.21,0,TRUE
cust_01KHGX6KXJ7WXVBAK6X49MT3GY,subs_01KHGX6KYHJN1KNAD0METGZCV4,inv_01KJKBB1KY3Y5DW7MWR3W4KF6J,2026-02-15T00:00:00Z,2026-03-01T00:00:00Z,8.8,8.8,0,TRUE
cust_01KHDARD7BK308ATPSS4MA1JFK,subs_01KHDARD8CG07BR5FJ8AD8EDW7,inv_01KJKBBAA9Y85B63RJ5F81Y7VX,2026-02-14T00:00:00Z,2026-03-01T00:00:00Z,0.06,0.05,0.01,TRUE
